te,sr,ev,ws,rl,sh,rel
12,10.1,5.9,4.1,79,4.2,75
9,12.2,4.7,3.8,75.5,3.8,84
10.3,13.4,2.8,3.9,77.8,2.4,80
9,12.5,2.5,4,118,2.9,82
7.4,12.5,2.6,3.3,324,5.1,88
7.5,12.4,1.9,3,195.6,2.5,85
5.9,9.6,1.7,3.2,556.7,1.5,89
7.6,10.2,1.6,3.5,265.4,2.4,88
6.8,8.5,1.9,2.5,283.5,3.7,87
8.9,11,1.7,1.7,67,5.2,82
11,12.6,2.4,1.7,28.1,5.8,77
12.6,10.3,3.9,2.6,26.4,4.7,77
10.6,8.8,3.6,2.8,86.2,1.8,83
9.8,10.3,3.6,2.6,93,2.3,83
9,11,3.2,3.1,98.3,2.5,75
9.1,11,2.4,2.7,175.2,2.9,84
6.9,10.1,2.9,2.8,254.7,4.1,87
7.8,9.1,1.9,3.5,480.9,4.1,87
6,7.5,1.8,3.9,485.5,2.7,88
6.8,8.3,1.5,2.7,152.1,1.7,88
6.5,7.5,1.7,3,334.2,2.6,85
8.7,8.4,1.9,2,131.2,4.4,82
9.3,9.8,2.4,2,177.1,5,78
10,10.8,3.7,2.4,33.2,6.5,75
10,9.4,4,3,46.5,4.5,79
11,10.3,5.2,3.3,50.7,4,70
9,10.9,4.5,3.2,120.7,3.9,75
8,9,2.6,2.9,132.8,4.8,83
8,9,2.5,3.9,251.8,5.5,82
7,8.3,1.7,4.5,335.7,4.2,85
6,7,1.6,4.7,222.9,1.3,89
7,7.1,1.5,2.9,493.1,0.8,88
8,8.3,2,3.2,344.6,2.3,84
9,8.3,2,2.6,171.5,2.3,85
9,11.7,2.3,2.5,88.2,4.5,84
11.1,11.7,2.8,2.4,4.8,5.6,86
12.2,12.6,6.4,4,17.1,5,62
9.8,14.5,4.3,3,85.9,6,84
9.3,11.6,3.3,3,170.8,3.4,82
9,12.9,3,4,121.4,4.4,80
8.4,12.1,2.4,3,247.3,4.1,83
6.6,10.5,1.6,3,383.4,2.2,87
5.5,9.8,1.4,4,252.9,1.5,88
6.4,6.4,2.1,3.9,228.6,4.3,86
8.4,9.3,1.5,3.2,284.2,2.2,87
8.1,12.3,1.7,3.1,194.3,3.8,84
9.7,11.8,2.5,3.5,28.7,5.2,82
11,12.9,2.7,3.8,38.4,7.3,82
10,14,2.5,4,39.6,6.7,87
10,12.1,2.7,4,103.7,5.4,83
10.2,12.5,2.8,4,95.6,3.7,83
10.5,12.3,2.8,4,59.8,4.8,80
8.2,12.1,1.9,3.9,399.4,4.3,83
8.8,9.9,1.9,3,360.3,1.9,86
7.1,9.6,1.1,3,392.6,1.4,89
6.8,10.8,1.5,4,267.8,2.3,85
7.1,12.1,1.4,3,557.3,1.6,89
8.3,13.3,2.1,3.2,291.4,2.3,86
9.2,12.5,2.8,3.4,4.5,3.5,83
12.2,12.9,5.1,3,78,5.4,79
8.5,13.2,3.8,3,93.2,4.7,80
8,11.5,2.9,3,168.8,4.7,81
8.5,9.8,2.9,3,290.1,4.5,85
6.9,10.3,2.1,3,415.9,4.7,87
7.1,8.6,1.8,3,500.9,2.7,87
7.4,9.9,2.8,3,455.1,2.4,82
6.9,12.7,1.6,3,366.7,2.9,85
8.4,13.2,1.9,3,299.2,4.4,86
9.6,12.4,2.3,3,145.1,5.4,84
11.1,12.5,4,3.7,10.5,5.6,79
12.7,14.1,4.7,3,2.4,3.7,79
10.9,18.2,3.4,5,142.4,5.2,84
9.4,16.5,3.1,5,228.4,5.9,81
8.4,16.6,2.7,4,196.6,5,82
6.8,15.3,2,5,195.1,2,86
5.2,12.3,1.7,5,285.1,4.1,87
6.7,11,2.1,5,387.2,1.7,87
6.3,13.3,1.7,5,275.8,2.7,87
7.4,18.2,1.9,4,142.2,3.8,85
8.9,19.9,2.1,3,63.5,2.6,85
10.1,16.4,2.3,4,87.5,6.4,86
11.3,13.4,2.6,4,61.3,6.2,90
